t,theta1,theta2,x1,y1,x2,y2
78.67,0.6604163681250892,-415.4387133421131,1.22689145280497,-1.5794737614262893,0.5463633986778422,-2.3121957875357446
78.68,0.6941581354065467,-415.63408054085136,1.2794772309160465,-1.5371850947649102,0.46965428059038516,-2.1238594415074976
78.69,0.7211846614612097,-415.8243687169398,1.3205496886782007,-1.5020481083280612,0.41437954179896597,-1.9249614149345882
78.7,0.7418921079349468,-416.01325449628195,1.3513679320293719,-1.4743828241954866,0.381906725180551,-1.7196275354844923
78.71000000000001,0.7564883320780487,-416.20385999260947,1.3727436383082372,-1.454501599684326,0.3743772038955969,-1.5116370758632394
78.72,0.7650770069944565,-416.39883853046126,1.385185095994295,-1.4426580502098463,0.39466614029985714,-1.3052819299778344
78.73,0.767785386990507,-416.60029604424193,1.3890872770353944,-1.4389011560139888,0.44608923197738615,-1.1061028882649293
78.74,0.7649552375373807,-416.8094705774357,1.385009414037585,-1.442826712750795,0.5316726109149957,-0.9214666639970385
78.75,0.757402507182846,-417.02616141998817,1.374072733663397,-1.4532460640245337,0.6527837501639869,-0.7606118154615655
78.76,0.7466649199602715,-417.24814681884476,1.3583894655137843,-1.4679162305735214,0.8072943110402693,-0.6334738235040983
78.77,0.7350084277935919,-417.4712499009356,1.3411868152211166,-1.4836502036116999,0.9883763461239736,-0.5479553960513213
78.78,0.7249729603305982,-417.6906579241899,1.3262304064880222,-1.4970347053113415,1.1855337819445988,-0.5069819492209972
78.79,0.7186606457515566,-417.9028634793696,1.3167542933003167,-1.5053764084358383,1.3877351062009944,-0.5078987273822926
78.8,0.7173292311210071,-418.1066632533673,1.3147488466358954,-1.5071282195850435,1.5861421057776133,-0.5446596752198594
78.81,0.7214901525248145,-418.3028012650643,1.3210084893252514,-1.5016446221162374,1.7747668126251428,-0.6105198362214271
78.82000000000001,0.7312257791349227,-418.4931369007939,1.3355651060239604,-1.488712815680448,1.9497194571576897,-0.6995268851270025
78.83,0.7464605877366393,-418.6800309456752,1.3580894945708668,-1.468193762667669,2.1081860163249764,-0.8068653963832743
78.84,0.7671230955465167,-418.8660588904717,1.3881340005330505,-1.4398208209927057,2.247606045383554,-0.9286380707746509
78.85000000000001,0.7932263145727947,-419.05393530470474,1.4252407956179942,-1.4030996666331965,2.365063965663452,-1.0614384176661726
78.86,0.8248962064842766,-419.2465249486103,1.4689546969538965,-1.3572664065308204,2.4567966971762645,-1.2018052133131198
78.87,0.8623502736644609,-419.4468215274257,1.5187477500069804,-1.301309060849395,2.5177709885813844,-1.345496941408536
78.88,0.9057842630051064,-419.6577030374391,1.573818681999003,-1.2341372517637255,2.5414608403633387,-1.4864637334417494
78.89,0.955055263070344,-419.88108145079445,1.6326913192651407,-1.1551272899539056,2.5203953185704866,-1.6155418961701882
78.9,1.0090087420315208,-420.11593225268234,1.6926084349619088,-1.0653997774994126,2.4488066287626262,-1.719742418393717
78.91,1.0646461481907725,-420.3557858978045,1.7492348613873787,-0.96962745408073,2.3283392417311175,-1.7848808604929292
78.92,1.1174747382008474,-420.5898928373235,1.7979947223254835,-0.8759080879234462,2.1721843309669526,-1.8032603062228065
78.93,1.1639182049401477,-420.8106389968558,1.8367215227243177,-0.7914885014712871,1.9987802313450498,-1.7782696195315086
78.94,1.20277473972997,-421.0175952140036,1.8660818903370793,-0.7195403939710353,1.8219166278921446,-1.7185646327126036
78.95,1.2342389775802818,-421.2141934887037,1.8877943123498275,-0.660479094490993,1.6493361466584575,-1.6316318647671773
78.96000000000001,1.2588043558725268,-421.40448081735326,1.9034480258993494,-0.6139101014805585,1.485609196839741,-1.5224312696049425
78.97,1.2768572795597855,-421.5920874610789,1.9142201300257327,-0.5794491296086891,1.3342664098332229,-1.3940985526336291
78.98,1.2886106416225607,-421.78013409818743,1.920898233525563,-0.5569111028147774,1.1988775319796958,-1.2487825551375435
78.99,1.294142489860734,-421.97132055483587,1.9239495745562487,-0.5462765184087902,1.08361238306919,-1.0883405410146465
79.0,1.2934759811357286,-422.16795483888404,1.9235850491756443,-0.547558726154496,0.993538592167472,-0.9150006777693678
79.01,1.2867016333453805,-422.37183124008453,1.9198315860906194,-0.5605770964361431,0.9346523787000535,-0.7321053137220935
79.02,1.2741601239995326,-422.58389764576003,1.912650304844095,-0.5846099651731829,0.9134376803933222,-0.5449346436470902
79.03,1.2566844033523692,-422.80371792492923,1.902142289372194,-0.617943938381071,0.9356254357556184,-0.3613407979577414
79.04,1.2358195472931364,-423.02895948782174,1.8888358871239272,-0.6574944802146757,1.004043285883926,-0.191509445271543
